Time(s),LateralError_e(m),ControlOutput_u,VehiclePos_y(m),ReferencePos_r(m),P_Term,I_Term,D_Term,SteeringAngle_delta(deg),VehicleGlobalX(m),VehicleGlobalZ(m),TargetGlobalX(m),TargetGlobalZ(m)
237.0999,0.0456,-0.1001,0.0456,0.0000,-0.0912,0.0023,-0.0112,-3.5030,309.3093,-31.2912,309.5224,-31.2860
237.1199,0.0453,-0.0846,0.0453,0.0000,-0.0906,0.0022,0.0037,-2.9613,309.1150,-31.3389,309.3278,-31.3325
237.1399,0.0448,-0.0721,0.0448,0.0000,-0.0896,0.0021,0.0154,-2.5225,308.9209,-31.3872,309.1182,-31.3835
237.1599,0.0447,-0.0792,0.0447,0.0000,-0.0895,0.0020,0.0083,-2.7703,308.7271,-31.4362,308.9402,-31.4275
237.1799,0.0453,-0.1000,0.0453,0.0000,-0.0906,0.0019,-0.0114,-3.5001,308.5334,-31.4862,308.7501,-31.4752
237.1999,0.0457,-0.1066,0.0457,0.0000,-0.0914,0.0019,-0.0170,-3.7305,308.3400,-31.5373,308.5595,-31.5238
237.2199,0.0420,0.0129,0.0420,0.0000,-0.0840,0.0018,0.0952,-0.7305,308.1467,-31.5885,308.3539,-31.5769
237.2399,0.0414,-0.0232,0.0414,0.0000,-0.0829,0.0017,0.0580,-0.8119,307.9534,-31.6399,308.1565,-31.6288
237.2599,0.0445,-0.1473,0.0445,0.0000,-0.0890,0.0016,-0.0598,-3.8119,307.7604,-31.6924,307.9486,-31.6842
237.2799,0.0438,-0.0932,0.0438,0.0000,-0.0876,0.0015,-0.0071,-3.2619,307.5677,-31.7457,307.7857,-31.7282
237.2999,0.0412,-0.0110,0.0412,0.0000,-0.0824,0.0014,0.0700,-0.3843,307.3750,-31.7992,307.5721,-31.7867
237.3199,0.0410,-0.0449,0.0410,0.0000,-0.0821,0.0013,0.0358,-1.5726,307.1824,-31.8531,307.3907,-31.8371
237.3399,0.0411,-0.0671,0.0411,0.0000,-0.0822,0.0013,0.0138,-2.3492,306.9899,-31.9076,307.1914,-31.8932
237.3599,0.0414,-0.0849,0.0414,0.0000,-0.0829,0.0012,-0.0032,-2.9720,306.7977,-31.9629,307.0033,-31.9468
237.3799,0.0416,-0.0877,0.0416,0.0000,-0.0832,0.0011,-0.0056,-3.0681,306.6058,-32.0190,306.8086,-32.0030
237.3999,0.0425,-0.1120,0.0425,0.0000,-0.0850,0.0010,-0.0280,-3.9203,306.4141,-32.0762,306.6091,-32.0614
237.4199,0.0418,-0.0746,0.0418,0.0000,-0.0835,0.0009,0.0080,-2.6097,306.2227,-32.1341,306.4191,-32.1176
237.4399,0.0434,-0.1267,0.0434,0.0000,-0.0867,0.0008,-0.0408,-4.4330,306.0316,-32.1931,306.2488,-32.1687
237.4599,0.0405,-0.0186,0.0405,0.0000,-0.0810,0.0008,0.0617,-1.4330,305.8407,-32.2526,306.0512,-32.2286
237.4799,0.0398,-0.0325,0.0398,0.0000,-0.0796,0.0007,0.0465,-1.1364,305.6498,-32.3123,305.8437,-32.2923
237.4999,0.0384,-0.0165,0.0384,0.0000,-0.0768,0.0006,0.0597,-0.5784,305.4590,-32.3722,305.6634,-32.3482
237.5199,0.0387,-0.0579,0.0387,0.0000,-0.0774,0.0005,0.0189,-2.0270,305.2683,-32.4327,305.4753,-32.4073
237.5399,0.0387,-0.0701,0.0387,0.0000,-0.0775,0.0004,0.0069,-2.4519,305.0779,-32.4938,305.2846,-32.4678
237.5599,0.0388,-0.0762,0.0388,0.0000,-0.0776,0.0004,0.0010,-2.6674,304.8877,-32.5556,305.0946,-32.5288
237.5799,0.0413,-0.1528,0.0413,0.0000,-0.0827,0.0003,-0.0704,-5.3480,304.6980,-32.6188,304.9142,-32.5873
237.5999,0.0404,-0.0845,0.0404,0.0000,-0.0807,0.0002,-0.0040,-2.9567,304.5085,-32.6828,304.7241,-32.6496
237.6199,0.0366,0.0301,0.0366,0.0000,-0.0732,0.0001,0.1032,0.0433,304.3190,-32.7468,304.5247,-32.7156
237.6399,0.0363,-0.0196,0.0363,0.0000,-0.0727,0.0001,0.0530,-0.6857,304.1296,-32.8110,304.3367,-32.7785
237.6599,0.0357,-0.0294,0.0357,0.0000,-0.0713,0.0000,0.0420,-1.0280,303.9402,-32.8754,304.1391,-32.8454
237.6799,0.0360,-0.0616,0.0360,0.0000,-0.0719,-0.0001,0.0104,-2.1558,303.7511,-32.9405,303.9487,-32.9104
237.6999,0.0381,-0.1318,0.0381,0.0000,-0.0762,-0.0002,-0.0554,-4.6123,303.5624,-33.0067,303.7511,-32.9786
237.7199,0.0363,-0.0457,0.0363,0.0000,-0.0725,-0.0002,0.0271,-1.6123,303.3738,-33.0734,303.5810,-33.0378
237.7399,0.0356,-0.0419,0.0356,0.0000,-0.0713,-0.0003,0.0297,-1.4651,303.1854,-33.1404,303.3908,-33.1047
237.7599,0.0355,-0.0554,0.0355,0.0000,-0.0711,-0.0004,0.0160,-1.9391,302.9972,-33.2080,303.1915,-33.1754
237.7799,0.0354,-0.0599,0.0354,0.0000,-0.0708,-0.0004,0.0113,-2.0973,302.8091,-33.2761,303.0034,-33.2428
237.7999,0.0347,-0.0472,0.0347,0.0000,-0.0695,-0.0005,0.0228,-1.6534,302.6212,-33.3446,302.8211,-33.3087
237.8199,0.0366,-0.1142,0.0366,0.0000,-0.0731,-0.0006,-0.0405,-3.9967,302.4337,-33.4142,302.6439,-33.3733
237.8399,0.0353,-0.0542,0.0353,0.0000,-0.0706,-0.0007,0.0171,-1.8962,302.2464,-33.4843,302.4539,-33.4432
237.8599,0.0347,-0.0460,0.0347,0.0000,-0.0694,-0.0007,0.0241,-1.6107,302.0592,-33.5548,302.2662,-33.5128
237.8799,0.0333,-0.0168,0.0333,0.0000,-0.0665,-0.0008,0.0506,-0.5876,301.8721,-33.6255,302.0686,-33.5868
237.8999,0.0343,-0.0764,0.0343,0.0000,-0.0687,-0.0009,-0.0069,-2.6753,301.6853,-33.6969,301.8922,-33.6534
237.9199,0.0330,-0.0336,0.0330,0.0000,-0.0660,-0.0009,0.0334,-1.1748,301.4986,-33.7686,301.6946,-33.7286
237.9399,0.0353,-0.1202,0.0353,0.0000,-0.0706,-0.0010,-0.0486,-4.1748,301.3123,-33.8413,301.5224,-33.7946
237.9599,0.0325,-0.0098,0.0325,0.0000,-0.0650,-0.0011,0.0562,-1.1748,301.1261,-33.9144,301.3278,-33.8699
237.9799,0.0358,-0.1384,0.0358,0.0000,-0.0715,-0.0011,-0.0658,-4.1748,300.9404,-33.9885,301.1529,-33.9381
237.9999,0.0314,0.0283,0.0314,0.0000,-0.0628,-0.0012,0.0923,-1.1748,300.7548,-34.0630,300.9576,-34.0148
238.0199,0.0350,-0.1297,0.0350,0.0000,-0.0699,-0.0013,-0.0585,-4.1748,300.5696,-34.1385,300.7827,-34.0840
238.0399,0.0289,0.0832,0.0289,0.0000,-0.0578,-0.0013,0.1424,-1.1748,300.3846,-34.2144,300.5855,-34.1627
238.0599,0.0271,0.0590,0.0271,0.0000,-0.0541,-0.0014,0.1145,1.8252,300.1993,-34.2898,300.3932,-34.2400
238.0799,0.0306,-0.1095,0.0306,0.0000,-0.0612,-0.0014,-0.0469,-1.1748,300.0142,-34.3654,300.1956,-34.3201
238.0999,0.0278,-0.0017,0.0278,0.0000,-0.0557,-0.0015,0.0555,-0.0579,299.8291,-34.4411,300.0167,-34.3932
238.1199,0.0274,-0.0181,0.0274,0.0000,-0.0547,-0.0016,0.0382,-0.6337,299.6440,-34.5170,299.8435,-34.4644
238.1399,0.0292,-0.0953,0.0292,0.0000,-0.0585,-0.0016,-0.0353,-3.3369,299.4593,-34.5937,299.6633,-34.5390
238.1599,0.0285,-0.0545,0.0285,0.0000,-0.0570,-0.0017,0.0042,-1.9060,299.2748,-34.6709,299.4752,-34.6174
238.1799,0.0302,-0.1063,0.0302,0.0000,-0.0603,-0.0017,-0.0442,-3.7202,299.0907,-34.7491,299.2759,-34.7011
238.1999,0.0328,-0.1601,0.0328,0.0000,-0.0656,-0.0018,-0.0927,-5.6048,298.9073,-34.8287,299.0857,-34.7815
238.2199,0.0296,-0.0136,0.0296,0.0000,-0.0592,-0.0019,0.0475,-2.6048,298.7241,-34.9090,298.9055,-34.8582
238.2399,0.0304,-0.0641,0.0304,0.0000,-0.0608,-0.0019,-0.0013,-2.2419,298.5412,-34.9898,298.7500,-34.9248
238.2599,0.0251,0.0944,0.0251,0.0000,-0.0503,-0.0020,0.1466,0.7581,298.3582,-35.0705,298.5595,-35.0070
238.2799,0.0240,0.0466,0.0240,0.0000,-0.0480,-0.0020,0.0966,1.6310,298.1750,-35.1507,298.3758,-35.0867
238.2999,0.0226,0.0356,0.0226,0.0000,-0.0451,-0.0021,0.0828,1.2452,297.9916,-35.2306,298.1782,-35.1730
238.3199,0.0249,-0.0799,0.0249,0.0000,-0.0498,-0.0021,-0.0280,-1.7548,297.8085,-35.3110,297.9907,-35.2555
238.3399,0.0234,-0.0197,0.0234,0.0000,-0.0468,-0.0022,0.0293,-0.6885,297.6254,-35.3915,297.8217,-35.3303
238.3599,0.0266,-0.1324,0.0266,0.0000,-0.0532,-0.0022,-0.0770,-3.6885,297.4427,-35.4730,297.6459,-35.4086
238.3799,0.0276,-0.1197,0.0276,0.0000,-0.0553,-0.0023,-0.0622,-4.1889,297.2606,-35.5556,297.4405,-35.5006
238.3999,0.0284,-0.1089,0.0284,0.0000,-0.0568,-0.0023,-0.0497,-3.8109,297.0789,-35.6391,297.2846,-35.5708
238.4199,0.0237,0.0596,0.0237,0.0000,-0.0474,-0.0024,0.1094,-0.8109,296.8972,-35.7229,297.0945,-35.6570
238.4399,0.0235,0.0033,0.0235,0.0000,-0.0471,-0.0024,0.0528,0.1163,296.7156,-35.8066,296.9142,-35.7391
238.4599,0.0238,-0.0349,0.0238,0.0000,-0.0477,-0.0025,0.0152,-1.2226,296.5341,-35.8906,296.7153,-35.8304
238.4799,0.0279,-0.1655,0.0279,0.0000,-0.0559,-0.0025,-0.1071,-4.2226,296.3531,-35.9757,296.5594,-35.9023
238.4999,0.0219,0.0734,0.0219,0.0000,-0.0438,-0.0026,0.1198,-1.2226,296.1722,-36.0611,296.3540,-35.9976
238.5199,0.0195,0.0794,0.0195,0.0000,-0.0390,-0.0026,0.1210,1.7774,295.9912,-36.1460,296.1782,-36.0796
238.5399,0.0216,-0.0511,0.0216,0.0000,-0.0432,-0.0026,-0.0053,-1.2226,295.8103,-36.2313,295.9907,-36.1676
238.5599,0.0197,0.0075,0.0197,0.0000,-0.0395,-0.0027,0.0496,0.2613,295.6293,-36.3164,295.8219,-36.2472
238.5799,0.0219,-0.0847,0.0219,0.0000,-0.0438,-0.0027,-0.0382,-2.7387,295.4487,-36.4023,295.6460,-36.3306
238.5999,0.0275,-0.2295,0.0275,0.0000,-0.0549,-0.0028,-0.1718,-5.7387,295.2688,-36.4897,295.4406,-36.4286
238.6199,0.0209,0.0613,0.0209,0.0000,-0.0418,-0.0028,0.1060,-2.7387,295.0892,-36.5777,295.2846,-36.5033
238.6399,0.0217,-0.0212,0.0217,0.0000,-0.0434,-0.0029,0.0251,-0.7404,294.9097,-36.6659,295.0858,-36.5991
238.6599,0.0211,-0.0166,0.0211,0.0000,-0.0422,-0.0029,0.0284,-0.5827,294.7302,-36.7542,294.9054,-36.6865
238.6799,0.0213,-0.0380,0.0213,0.0000,-0.0425,-0.0029,0.0075,-1.3285,294.5510,-36.8429,294.7499,-36.7622
238.6999,0.0168,0.0917,0.0168,0.0000,-0.0336,-0.0030,0.1282,1.6715,294.3715,-36.9312,294.5506,-36.8597
238.7199,0.0151,0.0697,0.0151,0.0000,-0.0302,-0.0030,0.1030,2.4404,294.1917,-37.0188,294.3757,-36.9457
238.7399,0.0164,-0.0248,0.0164,0.0000,-0.0327,-0.0030,0.0110,-0.5596,294.0120,-37.1066,294.1955,-37.0347
238.7599,0.0183,-0.0892,0.0183,0.0000,-0.0366,-0.0031,-0.0495,-3.1216,293.8327,-37.1952,294.0253,-37.1192
238.7799,0.0183,-0.0600,0.0183,0.0000,-0.0365,-0.0031,-0.0204,-2.1008,293.6537,-37.2843,293.8436,-37.2099
238.7999,0.0186,-0.0594,0.0186,0.0000,-0.0372,-0.0032,-0.0190,-2.0797,293.4749,-37.3739,293.6633,-37.3002
238.8199,0.0196,-0.0777,0.0196,0.0000,-0.0392,-0.0032,-0.0353,-2.7178,293.2964,-37.4642,293.4879,-37.3885
238.8399,0.0199,-0.0680,0.0199,0.0000,-0.0398,-0.0032,-0.0249,-2.3785,293.1182,-37.5551,293.3105,-37.4783
238.8599,0.0208,-0.0802,0.0208,0.0000,-0.0416,-0.0033,-0.0353,-2.8058,292.9404,-37.6467,293.1184,-37.5759
238.8799,0.0202,-0.0420,0.0202,0.0000,-0.0403,-0.0033,0.0017,-1.4695,292.7628,-37.7386,292.9402,-37.6668
238.8999,0.0218,-0.0928,0.0218,0.0000,-0.0437,-0.0034,-0.0457,-3.2470,292.5856,-37.8314,292.7827,-37.7476
238.9199,0.0190,0.0166,0.0190,0.0000,-0.0380,-0.0034,0.0581,-0.2470,292.4085,-37.9242,292.5834,-37.8503
238.9399,0.0205,-0.0605,0.0205,0.0000,-0.0410,-0.0034,-0.0160,-2.1163,292.2316,-38.0175,292.4279,-37.9307
238.9599,0.0184,0.0102,0.0184,0.0000,-0.0369,-0.0035,0.0506,0.3571,292.0547,-38.1108,292.2490,-38.0236
238.9799,0.0157,0.0643,0.0157,0.0000,-0.0314,-0.0035,0.0992,2.2517,291.8774,-38.2035,292.0688,-38.1176
238.9999,0.0161,-0.0044,0.0161,0.0000,-0.0323,-0.0035,0.0314,-0.1545,291.7002,-38.2962,291.8922,-38.2101
239.0199,0.0146,0.0244,0.0146,0.0000,-0.0292,-0.0036,0.0572,0.8549,291.5229,-38.3887,291.7119,-38.3050
239.0399,0.0228,-0.2539,0.0228,0.0000,-0.0457,-0.0036,-0.2046,-2.1451,291.3459,-38.4818,291.5137,-38.4097
239.0599,0.0154,0.0820,0.0154,0.0000,-0.0308,-0.0036,0.1164,0.8549,291.1687,-38.5746,291.3562,-38.4932
239.0799,0.0165,-0.0170,0.0165,0.0000,-0.0331,-0.0037,0.0198,-0.5952,290.9917,-38.6676,291.1790,-38.5876
239.0999,0.0182,-0.0762,0.0182,0.0000,-0.0363,-0.0037,-0.0361,-2.6656,290.8149,-38.7613,291.0034,-38.6815
239.1199,0.0191,-0.0838,0.0191,0.0000,-0.0382,-0.0038,-0.0419,-2.9327,290.6386,-38.8557,290.8212,-38.7793
239.1399,0.0199,-0.0848,0.0199,0.0000,-0.0398,-0.0038,-0.0412,-2.9679,290.4627,-38.9508,290.6440,-38.8748
239.1599,0.0255,-0.2295,0.0255,0.0000,-0.0510,-0.0038,-0.1747,-5.9679,290.2875,-39.0473,290.4865,-38.9600
239.1799,0.0204,0.0194,0.0204,0.0000,-0.0409,-0.0039,0.0642,-2.9679,290.1128,-39.1446,290.2881,-39.0678
239.1999,0.0220,-0.0620,0.0220,0.0000,-0.0439,-0.0039,-0.0141,-2.1693,289.9384,-39.2425,290.1078,-39.1660
239.2199,0.0149,0.1577,0.0149,0.0000,-0.0297,-0.0040,0.1914,0.8307,289.7638,-39.3401,289.9488,-39.2531
239.2399,0.0221,-0.1635,0.0221,0.0000,-0.0441,-0.0040,-0.1154,-2.1693,289.5895,-39.4382,289.7857,-39.3426
239.2599,0.0175,0.0369,0.0175,0.0000,-0.0350,-0.0040,0.0759,0.8307,289.4152,-39.5362,289.6068,-39.4412
239.2799,0.0114,0.1779,0.0114,0.0000,-0.0227,-0.0041,0.2047,3.8307,289.2403,-39.6332,289.4145,-39.5475
239.2999,0.0126,0.0269,0.0126,0.0000,-0.0252,-0.0041,0.0562,0.9427,289.0652,-39.7300,289.2520,-39.6377
239.3199,0.0158,-0.1009,0.0158,0.0000,-0.0316,-0.0041,-0.0651,-2.0573,288.8905,-39.8273,289.0598,-39.7448
239.3399,0.0214,-0.2302,0.0214,0.0000,-0.0427,-0.0042,-0.1833,-5.0573,288.7165,-39.9258,288.8795,-39.8456
239.3599,0.0119,0.1555,0.0119,0.0000,-0.0237,-0.0042,0.1834,-2.0573,288.5427,-40.0248,288.7155,-39.9376
239.3799,0.0168,-0.0929,0.0168,0.0000,-0.0335,-0.0042,-0.0551,-3.2511,288.3694,-40.1246,288.5594,-40.0254
239.3999,0.0078,0.2043,0.0078,0.0000,-0.0157,-0.0042,0.2242,-0.2511,288.1961,-40.2245,288.3758,-40.1291
239.4199,0.0068,0.1110,0.0068,0.0000,-0.0136,-0.0042,0.1288,2.7489,288.0224,-40.3237,288.1955,-40.2312
239.4399,0.0109,-0.0843,0.0109,0.0000,-0.0218,-0.0043,-0.0582,-0.2511,287.8488,-40.4230,288.0166,-40.3329
239.4599,0.0103,-0.0327,0.0103,0.0000,-0.0205,-0.0043,-0.0079,-1.1453,287.6754,-40.5225,287.8434,-40.4317
239.4799,0.0173,-0.2388,0.0173,0.0000,-0.0347,-0.0043,-0.1998,-4.1453,287.5025,-40.6230,287.6632,-40.5348
239.4999,0.0194,-0.1881,0.0194,0.0000,-0.0387,-0.0044,-0.1450,-6.5835,287.3305,-40.7252,287.4877,-40.6356
239.5199,0.0036,0.3634,0.0036,0.0000,-0.0072,-0.0044,0.3749,-3.5835,287.1591,-40.8282,287.3279,-40.7276
239.5399,-0.0159,0.7347,-0.0159,0.0000,0.0317,-0.0043,0.7074,-0.5835,286.9877,-40.9313,287.1442,-40.8337
239.5599,-0.0087,0.1280,-0.0087,0.0000,0.0174,-0.0043,0.1148,2.4165,286.8160,-41.0339,286.9792,-40.9293
239.5799,-0.0092,0.0796,-0.0092,0.0000,0.0185,-0.0043,0.0654,2.7853,286.6439,-41.1358,286.8085,-41.0285
239.5999,-0.0114,0.1064,-0.0114,0.0000,0.0227,-0.0043,0.0880,3.7257,286.4713,-41.2368,286.6439,-41.1244
239.6199,-0.0196,0.3040,-0.0196,0.0000,0.0392,-0.0042,0.2689,6.7257,286.2977,-41.3361,286.4517,-41.2368
239.6399,-0.0103,-0.1246,-0.0103,0.0000,0.0206,-0.0042,-0.1410,3.7257,286.1236,-41.4346,286.2880,-41.3327
239.6599,-0.0164,0.1356,-0.0164,0.0000,0.0327,-0.0042,0.1071,4.7464,285.9489,-41.5319,286.1078,-41.4387
239.6799,0.0005,-0.4280,0.0005,0.0000,-0.0010,-0.0042,-0.4228,1.7464,285.7739,-41.6287,285.9489,-41.5324
239.6999,0.0121,-0.5387,0.0121,0.0000,-0.0242,-0.0042,-0.5102,-1.2536,285.5991,-41.7259,285.7860,-41.6287
239.7199,0.0119,-0.2474,0.0119,0.0000,-0.0238,-0.0042,-0.2195,-4.2536,285.4248,-41.8241,285.6069,-41.7349
239.7399,0.0249,-0.5138,0.0249,0.0000,-0.0498,-0.0043,-0.4597,-7.2536,285.2516,-41.9241,285.4493,-41.8285
239.7599,0.0233,-0.2093,0.0233,0.0000,-0.0465,-0.0043,-0.1585,-7.3264,285.0794,-42.0259,285.2500,-41.9473
239.7799,0.0209,-0.0498,0.0209,0.0000,-0.0418,-0.0044,-0.0037,-4.3264,284.9079,-42.1287,285.0946,-42.0402
239.7999,0.0251,-0.1741,0.0251,0.0000,-0.0502,-0.0044,-0.1195,-6.0940,284.7372,-42.2329,284.9054,-42.1536
239.8199,0.0191,0.0727,0.0191,0.0000,-0.0381,-0.0045,0.1153,-3.0940,284.5670,-42.3379,284.7501,-42.2470
239.8399,0.0201,-0.0235,0.0201,0.0000,-0.0403,-0.0045,0.0213,-0.8215,284.3969,-42.4431,284.5853,-42.3462
239.8599,0.0196,-0.0201,0.0196,0.0000,-0.0393,-0.0045,0.0237,-0.7042,284.2269,-42.5485,284.3930,-42.4624
239.8799,0.0220,-0.1043,0.0220,0.0000,-0.0440,-0.0046,-0.0557,-3.6521,284.0574,-42.6547,284.2488,-42.5497
239.8999,0.0120,0.2244,0.0120,0.0000,-0.0241,-0.0046,0.2531,-0.6521,283.8880,-42.7611,284.0686,-42.6591
239.9199,0.0068,0.2396,0.0068,0.0000,-0.0136,-0.0046,0.2578,2.3479,283.7183,-42.8669,283.8922,-42.7665
239.9399,0.0115,-0.0439,0.0115,0.0000,-0.0230,-0.0046,-0.0163,-0.6521,283.5487,-42.9729,283.7119,-42.8764
239.9599,0.0055,0.1426,0.0055,0.0000,-0.0111,-0.0047,0.1583,2.3479,283.3788,-43.0783,283.5462,-42.9778
239.9799,0.0133,-0.1768,0.0133,0.0000,-0.0266,-0.0047,-0.1455,-0.6521,283.2089,-43.1839,283.3909,-43.0730
239.9999,0.0198,-0.2889,0.0198,0.0000,-0.0395,-0.0047,-0.2447,-3.6521,283.0396,-43.2903,283.2261,-43.1742
240.0199,-0.0041,0.5603,-0.0041,0.0000,0.0083,-0.0047,0.5567,-0.6521,282.8704,-43.3969,283.0424,-43.2873
240.0399,-0.0155,0.5899,-0.0155,0.0000,0.0310,-0.0047,0.5635,2.3479,282.7008,-43.5030,282.8818,-43.3865
240.0599,-0.0115,0.1556,-0.0115,0.0000,0.0229,-0.0047,0.1373,5.3479,282.5304,-43.6077,282.6896,-43.5054
240.0799,-0.0056,-0.0947,-0.0056,0.0000,0.0113,-0.0047,-0.1014,2.3479,282.3597,-43.7119,282.5248,-43.6077
240.0999,-0.0059,-0.0305,-0.0059,0.0000,0.0118,-0.0046,-0.0377,-0.6521,282.1891,-43.8163,282.3541,-43.7138
240.1199,0.0075,-0.4106,0.0075,0.0000,-0.0151,-0.0047,-0.3909,-3.6521,282.0190,-43.9215,282.1956,-43.8125
240.1399,0.0070,-0.1781,0.0070,0.0000,-0.0141,-0.0047,-0.1594,-6.2348,281.8499,-44.0283,282.0255,-43.9187
240.1599,0.0077,-0.1079,0.0077,0.0000,-0.0153,-0.0047,-0.0879,-3.7774,281.6813,-44.1359,281.8435,-44.0325
240.1799,-0.0168,0.6703,-0.0168,0.0000,0.0336,-0.0046,0.6414,-0.7774,281.5128,-44.2437,281.6947,-44.1258
240.1999,-0.0137,0.2204,-0.0137,0.0000,0.0273,-0.0046,0.1977,2.2226,281.3440,-44.3509,281.5225,-44.2340
240.2199,-0.0054,-0.1372,-0.0054,0.0000,0.0108,-0.0046,-0.1433,-0.7774,281.1754,-44.4584,281.3388,-44.3496
240.2399,-0.0087,0.0420,-0.0087,0.0000,0.0174,-0.0046,0.0292,1.4706,281.0064,-44.5655,281.1790,-44.4504
240.2599,-0.0051,-0.0824,-0.0051,0.0000,0.0102,-0.0046,-0.0880,-1.5294,280.8378,-44.6729,281.0033,-44.5615
240.2799,-0.0171,0.3241,-0.0171,0.0000,0.0341,-0.0046,0.2945,1.4706,280.6689,-44.7801,280.8212,-44.6769
240.2999,-0.0078,-0.1172,-0.0078,0.0000,0.0155,-0.0045,-0.1282,-1.5294,280.5002,-44.8875,280.6613,-44.7783
240.3199,-0.0189,0.2872,-0.0189,0.0000,0.0378,-0.0045,0.2538,1.4706,280.3313,-44.9947,280.5124,-44.8730
240.3399,-0.0111,-0.0872,-0.0111,0.0000,0.0222,-0.0045,-0.1050,-1.5294,280.1627,-45.1022,280.3367,-44.9849
240.3599,-0.0066,-0.1634,-0.0066,0.0000,0.0132,-0.0045,-0.1721,-4.5294,279.9947,-45.2107,280.1564,-45.1000
240.3799,-0.0208,0.3550,-0.0208,0.0000,0.0415,-0.0044,0.3179,-1.5294,279.8269,-45.3196,279.9747,-45.2162
240.3999,-0.0075,-0.2171,-0.0075,0.0000,0.0150,-0.0044,-0.2277,-4.5294,279.6599,-45.4296,279.8217,-45.3142
240.4199,-0.0142,0.1101,-0.0142,0.0000,0.0285,-0.0044,0.0860,-1.5294,279.4931,-45.5400,279.6634,-45.4158
240.4399,-0.0124,0.0073,-0.0124,0.0000,0.0248,-0.0044,-0.0131,0.2565,279.3262,-45.6502,279.4877,-45.5288
240.4599,-0.0173,0.1615,-0.0173,0.0000,0.0346,-0.0043,0.1312,3.2565,279.1589,-45.7597,279.3105,-45.6429
240.4799,-0.0175,0.0932,-0.0175,0.0000,0.0349,-0.0043,0.0625,3.2609,278.9910,-45.8685,279.1442,-45.7502
240.4999,-0.0165,0.0297,-0.0165,0.0000,0.0330,-0.0042,0.0010,1.0412,278.8230,-45.9770,278.9794,-45.8567
240.5199,-0.0174,0.0555,-0.0174,0.0000,0.0348,-0.0042,0.0249,1.9408,278.6547,-46.0851,278.8085,-45.9674
240.5399,-0.0153,-0.0193,-0.0153,0.0000,0.0307,-0.0042,-0.0458,-0.6751,278.4865,-46.1933,278.6439,-46.0742
240.5599,-0.0168,0.0488,-0.0168,0.0000,0.0335,-0.0041,0.0194,1.7078,278.3181,-46.3011,278.4864,-46.1765
240.5799,-0.0144,-0.0326,-0.0144,0.0000,0.0288,-0.0041,-0.0573,-1.1424,278.1498,-46.4091,278.3054,-46.2943
240.5999,-0.0125,-0.0561,-0.0125,0.0000,0.0251,-0.0041,-0.0771,-1.9630,277.9818,-46.5177,278.1390,-46.4027
240.6199,-0.0135,0.0161,-0.0135,0.0000,0.0271,-0.0041,-0.0069,0.5627,277.8137,-46.6261,277.9834,-46.5043
240.6399,-0.0106,-0.0686,-0.0106,0.0000,0.0211,-0.0040,-0.0857,-2.4025,277.6460,-46.7351,277.8043,-46.6213
240.6599,-0.0101,-0.0355,-0.0101,0.0000,0.0201,-0.0040,-0.0516,-1.2422,277.4785,-46.8443,277.6460,-46.7250
240.6799,-0.0080,-0.0676,-0.0080,0.0000,0.0161,-0.0040,-0.0797,-2.3668,277.3114,-46.9541,277.4751,-46.8371
240.6999,-0.0090,0.0065,-0.0090,0.0000,0.0181,-0.0040,-0.0076,0.2274,277.1442,-47.0639,277.3105,-46.9451
240.7199,-0.0175,0.2635,-0.0175,0.0000,0.0350,-0.0040,0.2325,3.2274,276.9765,-47.1729,277.1530,-47.0488
240.7399,-0.0102,-0.0824,-0.0102,0.0000,0.0205,-0.0039,-0.0990,0.2274,276.8087,-47.2819,276.9794,-47.1631
240.7599,-0.0061,-0.1521,-0.0061,0.0000,0.0121,-0.0039,-0.1603,-2.7726,276.6414,-47.3915,276.8085,-47.2758
240.7799,-0.0073,-0.0246,-0.0073,0.0000,0.0147,-0.0039,-0.0353,-0.8597,276.4743,-47.5013,276.6439,-47.3845
240.7999,-0.0174,0.2949,-0.0174,0.0000,0.0348,-0.0039,0.2640,2.1403,276.3068,-47.6106,276.4863,-47.4887
240.8199,-0.0025,-0.2976,-0.0025,0.0000,0.0049,-0.0039,-0.2986,-0.8597,276.1394,-47.7201,276.3053,-47.6086
240.8399,-0.0012,-0.1678,-0.0012,0.0000,0.0025,-0.0039,-0.1664,-3.8597,275.9727,-47.8305,276.1390,-47.7189
240.8599,-0.0135,0.2897,-0.0135,0.0000,0.0269,-0.0038,0.2667,-0.8597,275.8060,-47.9411,275.9833,-47.8223
240.8799,-0.0018,-0.2070,-0.0018,0.0000,0.0036,-0.0038,-0.2067,-3.8597,275.6400,-48.0526,275.8043,-47.9414
240.8999,-0.0083,0.1027,-0.0083,0.0000,0.0166,-0.0038,0.0899,-0.8597,275.4741,-48.1643,275.6459,-48.0468
240.9199,-0.0037,-0.0851,-0.0037,0.0000,0.0074,-0.0038,-0.0886,-2.9773,275.3087,-48.2767,275.4750,-48.1607
240.9399,-0.0063,0.0434,-0.0063,0.0000,0.0127,-0.0038,0.0345,0.0227,275.1432,-48.3890,275.3104,-48.2706
240.9599,-0.0164,0.3231,-0.0164,0.0000,0.0327,-0.0038,0.2941,3.0227,274.9773,-48.5007,275.1529,-48.3758
240.9799,-0.0090,-0.0610,-0.0090,0.0000,0.0180,-0.0038,-0.0752,0.0227,274.8114,-48.6124,274.9793,-48.4920
